date_and_time,lat,lon,speed
18-07-27 11:24:23.200,12.35826698,76.59618708,3
18-07-27 11:24:23.400,12.35826559,76.59618779,3
18-07-27 11:24:23.600,12.35826425,76.59618836,3
18-07-27 11:24:23.800,12.35826288,76.59618899,3
18-07-27 11:24:24.000,12.35826165,76.59618966,3
18-07-27 11:24:24.200,12.35826033,76.59619043,3
18-07-27 11:24:24.400,12.3582591,76.59619099,3
18-07-27 11:24:24.600,12.35825771,76.59619151,3
18-07-27 11:24:24.800,12.35825607,76.59619198,4
18-07-27 11:24:25.000,12.35825439,76.59619236,4
18-07-27 11:24:25.200,12.35825306,76.59619268,3
18-07-27 11:24:25.400,12.35825183,76.59619289,2
18-07-27 11:24:25.600,12.35825038,76.59619335,3
18-07-27 11:24:25.800,12.35824904,76.59619368,3
18-07-27 11:24:26.000,12.35824777,76.59619385,2
18-07-27 11:24:26.200,12.35824641,76.59619372,3
18-07-27 11:24:26.400,12.35824495,76.59619374,3
18-07-27 11:24:26.600,12.35824359,76.59619368,3
18-07-27 11:24:26.800,12.35824247,76.59619374,2
18-07-27 11:24:27.000,12.35824144,76.59619368,2
18-07-27 11:24:27.200,12.35824018,76.59619368,2
18-07-27 11:24:27.400,12.35823888,76.59619338,3
18-07-27 11:24:27.600,12.35823716,76.59619289,4
18-07-27 11:24:27.800,12.35823562,76.59619218,4
18-07-27 11:24:28.000,12.35823427,76.59619173,3
18-07-27 11:24:28.200,12.35823314,76.59619116,2
18-07-27 11:24:28.400,12.35823217,76.59619061,2
18-07-27 11:24:28.600,12.35823088,76.59619,3
18-07-27 11:24:28.800,12.35822934,76.59618954,3
18-07-27 11:24:29.000,12.3582281,76.59618885,3
18-07-27 11:24:29.200,12.35822707,76.59618787,3
18-07-27 11:24:29.400,12.35822611,76.5961869,3
18-07-27 11:24:29.600,12.35822513,76.59618585,3
18-07-27 11:24:29.800,12.35822422,76.59618493,2
18-07-27 11:24:30.000,12.35822334,76.59618392,3
18-07-27 11:24:30.200,12.35822242,76.59618284,3
18-07-27 11:24:30.400,12.3582215,76.59618175,3
18-07-27 11:24:30.600,12.35822086,76.59618046,3
18-07-27 11:24:30.800,12.35822035,76.59617888,4
18-07-27 11:24:31.000,12.35821995,76.59617707,4
18-07-27 11:24:31.200,12.35821951,76.59617564,2
18-07-27 11:24:31.400,12.35821918,76.59617428,3
18-07-27 11:24:31.600,12.35821868,76.59617297,3
18-07-27 11:24:31.800,12.35821829,76.59617176,2
18-07-27 11:24:32.000,12.358218,76.59617049,3
18-07-27 11:24:32.200,12.35821786,76.59616903,3
18-07-27 11:24:32.400,12.35821769,76.59616737,4
18-07-27 11:24:32.600,12.35821758,76.59616589,3
18-07-27 11:24:32.800,12.35821756,76.59616463,2
18-07-27 11:24:33.000,12.35821754,76.59616334,3
18-07-27 11:24:33.200,12.35821739,76.59616195,3
18-07-27 11:24:33.400,12.35821709,76.59616071,3
18-07-27 11:24:33.600,12.35821716,76.59615944,2
18-07-27 11:24:33.800,12.35821766,76.59615791,4
18-07-27 11:24:34.000,12.35821792,76.59615648,3
18-07-27 11:24:34.200,12.35821832,76.59615509,3
18-07-27 11:24:34.400,12.35821881,76.59615379,3
18-07-27 11:24:34.600,12.35821921,76.59615241,3
18-07-27 11:24:34.800,12.35821958,76.59615116,2
18-07-27 11:24:35.000,12.35822006,76.59615009,2
18-07-27 11:24:35.200,12.35822085,76.59614891,3
18-07-27 11:24:35.400,12.35822173,76.5961477,3
18-07-27 11:24:35.600,12.35822254,76.59614668,2
18-07-27 11:24:35.800,12.35822346,76.59614595,2
18-07-27 11:24:36.000,12.35822438,76.59614509,3
18-07-27 11:24:36.200,12.35822526,76.596144,3
18-07-27 11:24:36.400,12.3582261,76.59614314,2
18-07-27 11:24:36.600,12.35822705,76.59614241,2
18-07-27 11:24:36.800,12.35822836,76.59614173,3
18-07-27 11:24:37.000,12.35822961,76.59614092,3
18-07-27 11:24:37.200,12.35823075,76.59614011,3
18-07-27 11:24:37.400,12.35823181,76.59613948,2
18-07-27 11:24:37.600,12.35823263,76.59613869,2
18-07-27 11:24:37.800,12.35823355,76.59613797,2
18-07-27 11:24:38.000,12.35823443,76.59613752,2
18-07-27 11:24:38.200,12.35823524,76.5961373,2
18-07-27 11:24:38.400,12.35823642,76.59613727,3
18-07-27 11:24:38.600,12.35823936,76.59613834,2
18-07-27 11:24:38.800,12.35824032,76.5961386,2
18-07-27 11:24:39.000,12.35823918,76.59613765,2
18-07-27 11:24:39.200,12.35824047,76.59613793,3
