Y,X,utc,numSV
12.3583228666667,76.5960267816667,11:15:13,7
12.3583356166667,76.5960352766667,11:17:18,7
12.35819918,76.5962009533333,11:15:55,7
12.3582544533333,76.59620632,11:24:54,6
12.358245605,76.5962464333333,11:16:07,9
12.3582699616667,76.5962123683333,11:16:14,8
12.35833498,76.59603448,11:17:32,5
12.3582085466667,76.5960105816667,11:15:27,8
12.358339205,76.59603312,11:16:52,7
12.3582540733333,76.5962049316667,11:24:16,6
12.3583381033333,76.5960338016667,11:16:55,7
12.3583355266667,76.5960351133333,11:17:21,7
12.3582408733333,76.59601744,11:15:23,4
12.3582452366667,76.596218765,11:24:21,4
12.3582544383333,76.596206215,11:24:53,6
12.3583182066667,76.596109905,11:16:30,8
12.3583375483333,76.5960341083333,11:17:03,6
12.35820208,76.59604263,11:15:31,8
12.35819941,76.5962232666667,11:15:58,7
12.35833661,76.5960352016667,11:17:05,6
12.3583379683333,76.5960337883333,11:16:56,7
12.3582666383333,76.5962179333333,11:16:13,8
12.3583310733333,76.5960683416667,11:16:36,9
12.3582065692004,76.5962065140334,11:24:33,7
12.358320715,76.59610279,11:16:32,9
12.3582355883333,76.596227785,11:24:23,6
12.358300295,76.5961546133333,11:16:23,7
12.3583335616667,76.59603456,11:17:31,6
12.3583579316667,76.5960331416667,11:15:05,7
12.358203905,76.596130965,11:15:46,8
12.3582512533333,76.5961992466667,11:24:47,7
12.358335605,76.5960350433333,11:17:19,6
12.3582151392004,76.5962300690334,11:24:29,5
12.3582544233333,76.59620458,11:24:10,5
12.3582615566667,76.5962248933333,11:16:11,8
12.3582647633333,76.5962203716667,11:16:12,8
12.3583006366667,76.5960275933333,11:15:15,6
12.358358045,76.5960338066667,11:15:03,7
12.3583385633333,76.5960334633333,11:16:54,7
12.3582017,76.596103605,11:15:42,8
12.3582003166667,76.5960662816667,11:15:38,6
12.3582016266667,76.596237615,11:16:00,8
12.3583349233333,76.5960348316667,11:17:24,8
12.3583318333333,76.596034285,11:17:35,10
12.358336695,76.5960350683333,11:17:16,7
12.3583389116667,76.5960320933333,11:16:49,6
12.3583370216667,76.5960368033333,11:17:14,7
12.3583353916667,76.5960357,11:17:22,7
12.3582089792004,76.5962202373668,11:24:31,7
12.35820309,76.5962398166667,11:16:00,9
12.3582008466667,76.5962333983333,11:15:59,9
12.3583576816667,76.5960323883333,11:15:07,7
12.3583367266667,76.59603529,11:17:04,7
12.3582223266667,76.5962525133333,11:16:04,9
12.35833752,76.59603625,11:17:09,7
12.3582930733333,76.5961736666667,11:16:20,7
